Date;Time;Latitude;Longitude;Type
08.02.1965;13:19:57;-56,046;157,922;Earthquake
08.03.1965;2:01:53;-7,526;-81,179;Earthquake
08.05.1965;0:07:52;-5,213;151,701;Earthquake
08.11.1965;3:40:58;-15,449;166,98;Earthquake
08.11.1965;7:18:47;-15,67;167,216;Earthquake
08.11.1965;19:52:32;-15,685;167,097;Earthquake
08.11.1965;20:13:58;-15,741;167,26;Earthquake
08.11.1965;22:31:51;-15,861;167,092;Earthquake
08.12.1965;8:01:46;-15,817;167,399;Earthquake
08.12.1965;12:57:15;-5,36;152,116;Earthquake
08.12.1965;18:04:56;-15,931;167,392;Earthquake
09.01.1965;4:47:33;-34,596;179,922;Earthquake
09.02.1965;4:26:39;51,867;175,451;Earthquake
09.04.1965;10:19:51;46,515;153,387;Earthquake
09.04.1965;14:32:51;58,09;-152,525;Earthquake
09.08.1965;3:26:22;57,513;-152,263;Earthquake
09.09.1965;10:02:26;6,47;-84,408;Earthquake
09.11.1965;6:53:01;-5,349;152,955;Earthquake
09.12.1965;8:40:10;-6,209;151,651;Earthquake
09.12.1965;22:02:35;-6,416;70,726;Earthquake
10.01.1965;8:52:06;49,937;178,166;Earthquake
10.01.1965;13:22:29;-19,921;174,48;Earthquake
10.01.1965;22:34:23;-60,468;-24,551;Earthquake
10.03.1965;14:45:31;49,426;156,417;Earthquake
10.03.1965;16:14:57;-42,969;-75,225;Earthquake
10.07.1965;3:36:02;12,347;114,485;Earthquake
10.10.1965;17:25:41;-59,225;-25,091;Earthquake
10.12.1965;13:41:01;56,19;-153,615;Earthquake
11.03.1965;1:39:04;-9,031;-71,139;Earthquake
11.03.1965;18:21:08;-22,457;-113,788;Earthquake
11.05.1965;19:01:04;-3,144;143,789;Earthquake
11.06.1965;9:21:47;-22,126;-113,928;Earthquake
11.12.1965;17:52:24;30,628;140,23;Earthquake
12.04.1965;2:11:50;51,101;-170,604;Earthquake
12.05.1965;18:14:52;52,612;173,14;Earthquake
12.06.1965;11:34:55;18,919;-107,176;Earthquake
12.07.1965;22:19:17;-6,458;146,298;Earthquake
12.08.1965;18:05:27;-37,199;177,558;Earthquake
12.09.1965;6:07:47;17,135;-100,126;Earthquake
12.09.1965;13:12:56;-18,108;-178,062;Earthquake
12.10.1965;21:53:19;-11,292;166,143;Earthquake
01.05.1966;17:21:29;13,248;95,42;Earthquake
01.11.1966;3:10:54;0,586;120,141;Earthquake
01.11.1966;14:16:32;33,675;137,244;Earthquake
02.03.1966;5:48:11;0,211;123,555;Earthquake
02.03.1966;11:58:36;16,709;119,973;Earthquake
02.03.1966;17:57:42;24,13;121,966;Earthquake
02.04.1966;10:39:12;-15,899;167,914;Earthquake
02.05.1966;2:01:45;39,093;21,777;Earthquake
02.05.1966;15:12:31;26,246;103,187;Earthquake
02.05.1966;16:16:05;50,023;155,506;Earthquake
02.07.1966;4:26:13;29,956;69,761;Earthquake
02.07.1966;23:06:36;30,276;70,041;Earthquake
02.09.1966;4:40:32;-56,79;-25,965;Earthquake
02.09.1966;7:18:50;-9,851;116,376;Earthquake
02.10.1966;5:29:15;31,193;142,001;Earthquake
02.10.1966;14:21:13;20,711;146,163;Earthquake
